subject,method,retainedDirections,LatAz0El0,LatAz0El0_nearestAzDeg,LatAz0El0_nearestElDeg,LatAz0El0_nearestAngularErrorDeg,LatAz45El0,LatAz45El0_nearestAzDeg,LatAz45El0_nearestElDeg,LatAz45El0_nearestAngularErrorDeg,LatAz90El0,LatAz90El0_nearestAzDeg,LatAz90El0_nearestElDeg,LatAz90El0_nearestAngularErrorDeg,VertAz0El0,VertAz0El0_nearestAzDeg,VertAz0El0_nearestElDeg,VertAz0El0_nearestAngularErrorDeg,VertAz0El45,VertAz0El45_nearestAzDeg,VertAz0El45_nearestElDeg,VertAz0El45_nearestAngularErrorDeg
0071,SUpDEq-MCA,19,1.744630108114762,0.0,0.0,0.0,2.1906517263228453,45.0,0.0,0.0,5.3891242850314525,90.0,0.0,0.0,4.544906120438682,0.0,0.0,0.0,4.291273319665015,0.0,45.0,0.0
0073,SUpDEq-MCA,19,2.1711622099419237,0.0,0.0,0.0,3.137207053043284,45.0,0.0,0.0,6.467245607348958,90.0,0.0,0.0,3.604514123359229,0.0,0.0,0.0,6.1087328173772315,0.0,45.0,0.0
0078,SUpDEq-MCA,19,1.7702167575374699,0.0,0.0,0.0,2.7855851775729006,45.0,0.0,0.0,5.896222114814634,90.0,0.0,0.0,4.771780484262305,0.0,0.0,0.0,3.43264462367241,0.0,45.0,0.0
0080,SUpDEq-MCA,19,1.7538117707518652,0.0,0.0,0.0,2.207241248145889,45.0,0.0,0.0,5.108481037739667,90.0,0.0,0.0,4.771766258212651,0.0,0.0,0.0,5.5580882940608065,0.0,45.0,0.0
0082,SUpDEq-MCA,19,1.7782283583818224,0.0,0.0,0.0,3.5331723802558934,45.0,0.0,0.0,6.313091797188417,90.0,0.0,0.0,4.853491300815508,0.0,0.0,0.0,5.027209276470235,0.0,45.0,0.0
0083,SUpDEq-MCA,19,1.80397310467457,0.0,0.0,0.0,2.5460352583879127,45.0,0.0,0.0,4.526882918679678,90.0,0.0,0.0,4.414753627622914,0.0,0.0,0.0,4.961023794807558,0.0,45.0,0.0
0088,SUpDEq-MCA,19,1.7768177265725136,0.0,0.0,0.0,2.4809637216349585,45.0,0.0,0.0,6.98449029522393,90.0,0.0,0.0,3.188669381695795,0.0,0.0,0.0,5.002045310677538,0.0,45.0,0.0
0089,SUpDEq-MCA,19,1.7749892697152105,0.0,0.0,0.0,3.862779609428939,45.0,0.0,0.0,7.6039517984887075,90.0,0.0,0.0,4.0284511849108835,0.0,0.0,0.0,5.395209421110059,0.0,45.0,0.0
0100,SUpDEq-MCA,19,1.837104362459175,0.0,0.0,0.0,2.1843439957159534,45.0,0.0,0.0,7.102327874200886,90.0,0.0,0.0,4.440811407302394,0.0,0.0,0.0,6.109339433786294,0.0,45.0,0.0
0104,SUpDEq-MCA,19,1.9560800339953859,0.0,0.0,0.0,2.387041697576505,45.0,0.0,0.0,5.379971550274884,90.0,0.0,0.0,3.73520150737303,0.0,0.0,0.0,4.850627554815737,0.0,45.0,0.0
0116,SUpDEq-MCA,19,2.0309065261687707,0.0,0.0,0.0,2.5862239076265565,45.0,0.0,0.0,5.267524537801485,90.0,0.0,0.0,4.730409074686864,0.0,0.0,0.0,5.482870804089415,0.0,45.0,0.0
0118,SUpDEq-MCA,19,1.7891600526144746,0.0,0.0,0.0,3.1575541368719886,45.0,0.0,0.0,6.968634576342562,90.0,0.0,0.0,3.9939949784565174,0.0,0.0,0.0,6.634215928569498,0.0,45.0,0.0
0128,SUpDEq-MCA,19,1.6745399636889902,0.0,0.0,0.0,2.721199577097058,45.0,0.0,0.0,5.980339387540687,90.0,0.0,0.0,4.537138869312817,0.0,0.0,0.0,4.8324107514921675,0.0,45.0,0.0
